Person,Phrase,Similarity Score
Arsany,Grant me access,[[0.23336655]]
Arsany,Grant me access,[[0.25377018]]
Arsany,Grant me access,[[0.28565086]]
Arsany,Grant me access,[[0.21933905]]
Arsany,Grant me access,[[0.26907291]]
Arsany,Grant me access,[[0.19638496]]
Arsany,Grant me access,[[0.23719223]]
Arsany,Grant me access,[[0.24866927]]
Arsany,Grant me access,[[0.33283426]]
Arsany,Grant me access,[[0.28692608]]
Arsany,Open middle door,[[0.22316473]]
Arsany,Open middle door,[[0.16067861]]
Arsany,Open middle door,[[0.2831004]]
Arsany,Open middle door,[[0.32390767]]
Arsany,Open middle door,[[0.28437563]]
Arsany,Open middle door,[[0.20403633]]
Arsany,Open middle door,[[0.30350404]]
Arsany,Open middle door,[[0.32135721]]
Arsany,Open middle door,[[0.27544904]]
Arsany,Open middle door,[[0.29457745]]
Arsany,Unlock the gate,[[0.30350404]]
Arsany,Unlock the gate,[[0.43773008]]
Arsany,Unlock the gate,[[0.2831004]]
Arsany,Unlock the gate,[[0.37874243]]
Arsany,Unlock the gate,[[0.24229314]]
Arsany,Unlock the gate,[[0.19766019]]
Arsany,Unlock the gate,[[0.31485848]]
Arsany,Unlock the gate,[[0.25504541]]
Arsany,Unlock the gate,[[0.19070697]]
Arsany,Unlock the gate,[[0.22826564]]
Assem,Grant me access,[[-0.05041925]]
Assem,Grant me access,[[-0.04224315]]
Assem,Grant me access,[[-0.04769388]]
Assem,Grant me access,[[-0.06677144]]
Assem,Grant me access,[[-0.02997901]]
Assem,Grant me access,[[-0.07222217]]
Assem,Grant me access,[[-0.03406706]]
Assem,Grant me access,[[-0.01090146]]
Assem,Grant me access,[[-0.03542974]]
Assem,Grant me access,[[-0.07222217]]
Assem,Open middle door,[[-0.08312363]]
Assem,Open middle door,[[-0.06268339]]
Assem,Open middle door,[[-0.04088047]]
Assem,Open middle door,[[-0.0463312]]
Assem,Open middle door,[[0.04496852]]
Assem,Open middle door,[[0.08039826]]
Assem,Open middle door,[[-0.08448631]]
Assem,Open middle door,[[-0.02997901]]
Assem,Open middle door,[[-0.05995803]]
Assem,Open middle door,[[-0.0231656]]
Assem,Unlock the gate,[[-0.03542974]]
Assem,Unlock the gate,[[-0.03542974]]
Assem,Unlock the gate,[[-0.04224315]]
Assem,Unlock the gate,[[-0.09811313]]
Assem,Unlock the gate,[[-0.05586998]]
Assem,Unlock the gate,[[0.04224315]]
Assem,Unlock the gate,[[0.20509336]]
Assem,Unlock the gate,[[0.01362682]]
Assem,Unlock the gate,[[-0.03815511]]
Assem,Unlock the gate,[[-0.06268339]]
aziz,Grant me access,[[0.37874243]]
aziz,Grant me access,[[0.32263244]]
aziz,Grant me access,[[0.38256811]]
aziz,Grant me access,[[0.36599016]]
aziz,Grant me access,[[0.40807265]]
aziz,Grant me access,[[0.36599016]]
aziz,Grant me access,[[0.32900858]]
aziz,Grant me access,[[0.27799949]]
aziz,Grant me access,[[0.33665994]]
aziz,Grant me access,[[0.29585267]]
aziz,Open middle door,[[0.33793517]]
aziz,Open middle door,[[0.43612765]]
aziz,Open middle door,[[0.34686175]]
aziz,Open middle door,[[0.31625631]]
aziz,Open middle door,[[0.36343971]]
aziz,Open middle door,[[0.32135721]]
aziz,Open middle door,[[0.30477926]]
aziz,Open middle door,[[0.38894425]]
aziz,Open middle door,[[0.32645812]]
aziz,Open middle door,[[0.42720106]]
aziz,Unlock the gate,[[0.43357719]]
aziz,Unlock the gate,[[0.41062311]]
aziz,Unlock the gate,[[0.4055222]]
aziz,Unlock the gate,[[0.40424697]]
aziz,Unlock the gate,[[0.41444879]]
aziz,Unlock the gate,[[0.43357719]]
aziz,Unlock the gate,[[0.40934788]]
aziz,Unlock the gate,[[0.37619198]]
aziz,Unlock the gate,[[0.3914947]]
aziz,Unlock the gate,[[0.35578834]]
fady,Grant me access,[[0.29967835]]
fady,Grant me access,[[0.1696052]]
fady,Grant me access,[[0.23336655]]
fady,Grant me access,[[0.25887109]]
fady,Grant me access,[[0.2971279]]
fady,Grant me access,[[0.19383451]]
fady,Grant me access,[[0.1747061]]
fady,Grant me access,[[0.24484359]]
fady,Grant me access,[[0.23719223]]
fady,Grant me access,[[0.33410948]]
fady,Open middle door,[[0.34303607]]
fady,Open middle door,[[0.23336655]]
fady,Open middle door,[[0.2971279]]
fady,Open middle door,[[0.34558653]]
fady,Open middle door,[[0.33410948]]
fady,Open middle door,[[0.24229314]]
fady,Open middle door,[[0.31370585]]
fady,Open middle door,[[0.26907291]]
fady,Open middle door,[[0.38639379]]
fady,Open middle door,[[0.21551337]]
fady,Unlock the gate,[[0.32008199]]
fady,Unlock the gate,[[0.1887336]]
fady,Unlock the gate,[[0.21168769]]
fady,Unlock the gate,[[0.16322906]]
fady,Unlock the gate,[[0.10966953]]
fady,Unlock the gate,[[0.4246506]]
fady,Unlock the gate,[[0.40297174]]
fady,Unlock the gate,[[0.34558653]]
fady,Unlock the gate,[[0.17853179]]
fady,Unlock the gate,[[0.27799949]]
Hazem,Grant me access,[[-0.05041925]]
Hazem,Grant me access,[[-0.00817609]]
Hazem,Grant me access,[[-0.02180292]]
Hazem,Grant me access,[[-0.10628923]]
Hazem,Grant me access,[[-0.0231656]]
Hazem,Grant me access,[[-0.04905657]]
Hazem,Grant me access,[[-0.08312363]]
Hazem,Grant me access,[[-0.10765191]]
Hazem,Grant me access,[[-0.0545073]]
Hazem,Grant me access,[[-0.03270438]]
Hazem,Open middle door,[[0.27034813]]
Hazem,Open middle door,[[0.20222618]]
Hazem,Open middle door,[[0.19766019]]
Hazem,Open middle door,[[0.24866927]]
Hazem,Open middle door,[[0.34048562]]
Hazem,Open middle door,[[0.28947654]]
Hazem,Open middle door,[[0.19326679]]
Hazem,Open middle door,[[0.18108224]]
Hazem,Open middle door,[[0.28182518]]
Hazem,Open middle door,[[0.17343088]]
Hazem,Unlock the gate,[[-0.07494753]]
Hazem,Unlock the gate,[[-0.01498951]]
Hazem,Unlock the gate,[[-0.04905657]]
Hazem,Unlock the gate,[[-0.0463312]]
Hazem,Unlock the gate,[[-0.12536678]]
Hazem,Unlock the gate,[[-0.09538777]]
Hazem,Unlock the gate,[[0.05859534]]
Hazem,Unlock the gate,[[-0.02044024]]
Hazem,Unlock the gate,[[-0.05178193]]
Hazem,Unlock the gate,[[-0.10901459]]
Kyrollos,Grant me access,[[0.07631021]]
Kyrollos,Grant me access,[[0.08448631]]
Kyrollos,Grant me access,[[0.00272536]]
Kyrollos,Grant me access,[[0.04088047]]
Kyrollos,Grant me access,[[0.02044024]]
Kyrollos,Grant me access,[[-0.03270438]]
Kyrollos,Grant me access,[[0.05586998]]
Kyrollos,Grant me access,[[0.04905657]]
Kyrollos,Grant me access,[[0.05586998]]
Kyrollos,Grant me access,[[0.03542974]]
Kyrollos,Open middle door,[[0.05723266]]
Kyrollos,Open middle door,[[0.05859534]]
Kyrollos,Open middle door,[[0.02044024]]
Kyrollos,Open middle door,[[0.07085948]]
Kyrollos,Open middle door,[[0.14444433]]
Kyrollos,Open middle door,[[0.01362682]]
Kyrollos,Open middle door,[[-0.01635219]]
Kyrollos,Open middle door,[[-0.00272536]]
Kyrollos,Open middle door,[[-0.01498951]]
Kyrollos,Open middle door,[[0.01635219]]
Kyrollos,Unlock the gate,[[0.16488457]]
Kyrollos,Unlock the gate,[[0.07358485]]
Kyrollos,Unlock the gate,[[0.06677144]]
Kyrollos,Unlock the gate,[[0.00545073]]
Kyrollos,Unlock the gate,[[0.02044024]]
Kyrollos,Unlock the gate,[[0.13218019]]
Kyrollos,Unlock the gate,[[0.16215921]]
Kyrollos,Unlock the gate,[[0.12127873]]
Kyrollos,Unlock the gate,[[-0.02180292]]
Kyrollos,Unlock the gate,[[0.14989506]]
Shehab,Grant me access,[[0.35196266]]
Shehab,Grant me access,[[0.40297174]]
Shehab,Grant me access,[[0.37109107]]
Shehab,Grant me access,[[0.33921039]]
Shehab,Grant me access,[[0.34176085]]
Shehab,Grant me access,[[0.36216448]]
Shehab,Grant me access,[[0.39914606]]
Shehab,Grant me access,[[0.35323789]]
Shehab,Grant me access,[[0.3443113]]
Shehab,Grant me access,[[0.39659561]]
Shehab,Open middle door,[[0.38129288]]
Shehab,Open middle door,[[0.44632946]]
Shehab,Open middle door,[[0.35578834]]
Shehab,Open middle door,[[0.28947654]]
Shehab,Open middle door,[[0.2831004]]
Shehab,Open middle door,[[0.3583388]]
Shehab,Open middle door,[[0.40934788]]
Shehab,Open middle door,[[0.34558653]]
Shehab,Open middle door,[[0.35706357]]
Shehab,Open middle door,[[0.31625631]]
Shehab,Unlock the gate,[[0.42210015]]
Shehab,Unlock the gate,[[0.3774672]]
Shehab,Unlock the gate,[[0.45398083]]
Shehab,Unlock the gate,[[0.45525605]]
Shehab,Unlock the gate,[[0.41827447]]
Shehab,Unlock the gate,[[0.3723663]]
Shehab,Unlock the gate,[[0.35578834]]
Shehab,Unlock the gate,[[0.38384334]]
Shehab,Unlock the gate,[[0.49733855]]
Shehab,Unlock the gate,[[0.44250378]]
